graph_name,demand_model,weight_mode,total_inventory,inventory_placement,fulfillment_algorithm,reward
complete,deter,rewardbased,60,offline_lp_rounding,fluid_with_rejections_resolving,50.66064488326526
complete,deter,rewardbased,60,offline_lp_rounding,offline_with_rejections_resolving,51.16023674844026
complete,deter,rewardbased,60,fluid_lp_rounding,offline,51.51218470081961
complete,deter,rewardbased,60,fluid_lp_rounding,myopic,51.05298441903202
complete,deter,rewardbased,60,fluid_lp_rounding,fluid_with_rejections,48.5440607222312
complete,deter,rewardbased,60,fluid_lp_rounding,offline_with_rejections,51.05828284329354
complete,deter,rewardbased,60,fluid_lp_rounding,fluid_with_rejections_resolving,50.35893889706654
complete,deter,rewardbased,60,fluid_lp_rounding,offline_with_rejections_resolving,51.128606417661075
complete,deter,rewardbased,60,fluid_lp_rounding_withscaling,offline,51.51218470081961
complete,deter,rewardbased,60,fluid_lp_rounding_withscaling,myopic,51.05298441903202
complete,deter,rewardbased,60,fluid_lp_rounding_withscaling,fluid_with_rejections,48.5440607222312
complete,deter,rewardbased,60,fluid_lp_rounding_withscaling,offline_with_rejections,51.05828284329354
complete,deter,rewardbased,60,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,50.35893889706654
complete,deter,rewardbased,60,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,51.133125047949385
complete,deter,rewardbased,60,myopic_greedy,offline,51.5864146470928
complete,deter,rewardbased,60,myopic_greedy,myopic,51.09577860428064
complete,deter,rewardbased,60,myopic_greedy,fluid_with_rejections,49.18175278086048
complete,deter,rewardbased,60,myopic_greedy,offline_with_rejections,51.10052965006486
complete,deter,rewardbased,60,myopic_greedy,fluid_with_rejections_resolving,50.581310733712606
complete,deter,rewardbased,60,myopic_greedy,offline_with_rejections_resolving,51.17482764816204
complete,deter,rewardbased,75,offline_relaxation,,52.039493917212596
complete,deter,rewardbased,75,offline_lp_rounding,offline,52.039493917212596
complete,deter,rewardbased,75,offline_lp_rounding,myopic,51.98432695913093
complete,deter,rewardbased,75,offline_lp_rounding,fluid_with_rejections,51.98432695913093
complete,deter,rewardbased,75,offline_lp_rounding,offline_with_rejections,51.98432695913093
complete,deter,rewardbased,75,offline_lp_rounding,fluid_with_rejections_resolving,51.983755507149525
complete,deter,rewardbased,75,offline_lp_rounding,offline_with_rejections_resolving,51.991417934814606
complete,deter,rewardbased,75,fluid_lp_rounding,offline,51.65100500785225
complete,deter,rewardbased,75,fluid_lp_rounding,myopic,51.39417278906295
complete,deter,rewardbased,75,fluid_lp_rounding,fluid_with_rejections,51.00737453518324
complete,deter,rewardbased,75,fluid_lp_rounding,offline_with_rejections,51.43595836819699
